Filename,Name,Date,Distance (km),Duration (min),Avg Pace (min/km)
12111055853.gpx,2nd 5k,2024-08-10,5.03,30.4,6:02
12152574009.gpx,sheffield river run,2024-08-15,5.72,43.6,7:37
12230956645.gpx,a bit wet,2024-08-24,5.02,28.8,5:44
12238486493.gpx,easy cali warmup,2024-08-25,1.76,11.9,6:46
12246214233.gpx,with dad,2024-08-26,5.02,31.8,6:20
12296670661.gpx,bloody boiling ft dad,2024-09-01,6.62,43.0,6:30
12313259437.gpx,wakehams hill sprint,2024-09-03,0.22,1.1,4:52
12415303984.gpx,run to climbing,2024-09-15,2.82,15.8,5:36
12448999123.gpx,uni girls run club,2024-09-19,4.12,29.1,7:03
12549317388.gpx,Afternoon Run,2024-10-01,5.02,27.1,5:24
12563420745.gpx,Lunch Run,2024-10-03,1.98,11.5,5:47
12605893440.gpx,wet run to shops,2024-10-08,1.14,5.7,5:02
12637471964.gpx,illness can’t stop me,2024-10-12,5.75,35.4,6:08
12675866249.gpx,Morning Run,2024-10-17,1.46,7.5,5:09
12676002534.gpx,Lunch Run,2024-10-17,3.17,16.9,5:20
12715977585.gpx,shops,2024-10-22,1.31,6.9,5:13
12829195732.gpx,Afternoon Run,2024-11-05,1.33,7.6,5:44
12835528902.gpx,Morning Run,2024-11-06,5.06,28.8,5:41
12897500282.gpx,Morning Run,2024-11-14,1.84,9.4,5:06
12959282742.gpx,Afternoon Run,2024-11-22,2.42,13.9,5:45
13000928038.gpx,Lunch Run,2024-11-28,10.03,59.6,5:56
13119560129.gpx,Morning Run,2024-12-15,4.01,25.4,6:20
13128292001.gpx,Afternoon Run,2024-12-16,5.5,30.0,5:27
13353472644.gpx,Afternoon Run,2025-01-14,6.47,37.0,5:43
13388748661.gpx,Afternoon Run,2025-01-18,5.02,26.6,5:17
13659209713.gpx,Lunch Run,2025-02-18,4.03,23.1,5:44
13676524078.gpx,Morning Run,2025-02-20,5.03,28.4,5:38
13713749530.gpx,Afternoon Run,2025-02-24,5.55,30.2,5:26
13787778111.gpx,Afternoon Run,2025-03-04,10.24,68.1,6:39
13797572455.gpx,Afternoon Run,2025-03-05,2.0,11.0,5:29
13820635290.gpx,first park run !,2025-03-08,5.08,28.1,5:31
13916422795.gpx,Afternoon Run,2025-03-18,6.93,44.1,6:21
13953862394.gpx,Lunch Run,2025-03-22,11.55,70.0,6:03
13984482156.gpx,run clurb,2025-03-25,5.1,31.4,6:09
