Filename,Name,Date,Activity Type,Distance (km),Duration (min),Avg Pace (min/km)
10001024349.gpx,Afternoon Walk,08/10/2023,walking,5.72,151.2,26:26:00
10050678062.gpx,Evening Run,16/10/2023,running,3.26,23,07:02
10050748779.gpx,Evening Run,16/10/2023,running,1.4,10,07:09
10051290711.gpx,Night Run,16/10/2023,running,1.52,11.5,07:34
10079738985.gpx,Evening Walk,21/10/2023,walking,15.84,231.4,14:36
10433772431.gpx,Lunch Alpine Ski,25/12/2023,AlpineSki,11.46,61.9,05:23
10434783093.gpx,Afternoon Alpine Ski,25/12/2023,AlpineSki,33.03,120.5,03:38
10439853207.gpx,Afternoon Alpine Ski,26/12/2023,AlpineSki,25.41,146.1,05:45
10450850028.gpx,Afternoon Alpine Ski,28/12/2023,AlpineSki,19.81,101.4,05:07
10557679861.gpx,Afternoon Walk,14/01/2024,walking,20.98,317.9,15:09
10629135820.gpx,Evening Ride,25/01/2024,cycling,4.93,19,03:51
10629655370.gpx,Night Ride,25/01/2024,cycling,4.54,19,04:11
10676788245.gpx,Evening Run,01/02/2024,running,4.81,34.1,07:05
10677150964.gpx,Night Run,01/02/2024,running,0.78,4.3,05:28
10729118062.gpx,Evening Run,09/02/2024,running,2.13,16.1,07:33
10930831430.gpx,Afternoon Walk,10/03/2024,walking,15.27,300.7,19:41
10981641342.gpx,Evening Run,17/03/2024,running,1.27,8.3,06:31
10981689233.gpx,Evening Run,17/03/2024,running,0.82,6,07:21
10981822752.gpx,Evening Run,17/03/2024,running,3.12,22.1,07:03
10982236824.gpx,Evening Walk,17/03/2024,walking,2.46,32.8,13:21
11527808803.gpx,Night Run,29/05/2024,running,2.92,19.3,06:36
11534818453.gpx,Evening Run,30/05/2024,running,4.83,32.2,06:39
11550506318.gpx,Evening Run,01/06/2024,running,5.92,43.1,07:17
11630116766.gpx,Night Run,11/06/2024,running,2.13,14.3,06:43
11646476171.gpx,Night Walk,13/06/2024,walking,6.96,84.8,12:10
11783153010.gpx,Afternoon Walk,01/07/2024,walking,1.99,21.6,10:50
11825111017.gpx,Night Walk,06/07/2024,walking,6.66,68.4,10:16
11832887809.gpx,Evening Walk,07/07/2024,walking,9.1,114.4,12:34
11914160612.gpx,Night Walk,17/07/2024,walking,4.51,56.7,12:34
11914160621.gpx,Afternoon Walk,14/07/2024,walking,4,44.8,11:12
11914160640.gpx,Afternoon Walk,16/07/2024,walking,6.13,69,11:14
11960459872.gpx,Afternoon Ride,23/07/2024,cycling,16.06,82.8,05:09
11967547814.gpx,Lunch Ride,24/07/2024,cycling,13.82,70.9,05:07
11970262802.gpx,Evening Walk,24/07/2024,walking,7.63,110.2,14:26
12069135453.gpx,Afternoon Walk,05/08/2024,walking,9.97,115.4,11:34
12172941499.gpx,Evening Walk,17/08/2024,walking,25.84,257.8,09:58
12181643807.gpx,Evening Gravel Ride,18/08/2024,cycling,9.22,41.5,04:30
12182470212.gpx,Evening Walk,18/08/2024,walking,5.17,55.3,10:42
12196666316.gpx,Afternoon Ride,20/08/2024,cycling,18.19,52.5,02:53
12228844719.gpx,Afternoon Walk,24/08/2024,walking,4.55,87.8,19:17
12273834500.gpx,Afternoon Walk,29/08/2024,walking,3.68,44.4,12:03
12282251081.gpx,Evening Walk,30/08/2024,walking,3.45,41,11:54
12292102129.gpx,Evening Walk,31/08/2024,walking,3.35,39.3,11:42
12365768769.gpx,Afternoon Ride,09/09/2024,cycling,24.02,85.6,03:33
12366413788.gpx,Afternoon Ride,09/09/2024,cycling,21.31,77.6,03:38
12366989643.gpx,Afternoon Ride,09/09/2024,cycling,3.53,15.4,04:21
12372603078.gpx,Morning Ride,10/09/2024,cycling,3.08,11.7,03:47
12376640023.gpx,Evening Ride,10/09/2024,cycling,2.97,15.4,05:10
12393269616.gpx,Evening Ride,12/09/2024,cycling,1.48,7,04:42
12394319318.gpx,Evening Ride,12/09/2024,cycling,4.21,13.4,03:10
12395035566.gpx,Night Ride,12/09/2024,cycling,4.05,22,05:26
12397641613.gpx,Morning Ride,13/09/2024,cycling,1.58,7,04:25
12400885297.gpx,Afternoon Ride,13/09/2024,cycling,1.48,6.9,04:40
12408880167.gpx,Afternoon Ride,14/09/2024,cycling,1.58,6.8,04:20
12409362737.gpx,Afternoon Ride,14/09/2024,cycling,1.51,6.8,04:29
12419186759.gpx,Evening Ride,15/09/2024,cycling,41.16,132.4,03:12
12426429771.gpx,Evening Ride,16/09/2024,cycling,40.46,112.5,02:46
12430776260.gpx,Morning Ride,17/09/2024,cycling,3.07,10.8,03:31
12433701011.gpx,Afternoon Ride,17/09/2024,cycling,3.05,15.8,05:10
12435881570.gpx,Evening Ride,17/09/2024,cycling,4.24,14,03:17
12436459527.gpx,Night Ride,17/09/2024,cycling,4.12,17.6,04:16
12448566754.gpx,Morning Ride,19/09/2024,cycling,3.09,10,03:14
12451100618.gpx,Afternoon Ride,19/09/2024,cycling,2.98,16.2,05:26
12457815996.gpx,Lunch Mountain Bike Ride,20/09/2024,cycling,13.26,101.5,07:39
12458262858.gpx,Afternoon Mountain Bike Ride,20/09/2024,cycling,2.04,18,08:51
12458693172.gpx,Afternoon Ride,20/09/2024,cycling,2.71,11.2,04:09
12460073476.gpx,Afternoon Ride,20/09/2024,cycling,23.07,109.3,04:44
12465478670.gpx,Lunch Ride,21/09/2024,cycling,36.52,152.6,04:10
12477482993.gpx,Afternoon Ride,22/09/2024,cycling,5.11,47.1,09:13
12484741181.gpx,Afternoon Ride,23/09/2024,cycling,2.64,10.8,04:05
12759978225.gpx,Afternoon Run,27/10/2024,running,3.89,23,05:55
13991422042.gpx,Lunch Alpine Ski,26/03/2025,AlpineSki,18.41,138.3,07:30
6422476991.gpx,Afternoon Run,24/12/2021,running,0.64,5.3,08:16
6433719220.gpx,Afternoon Run,24/12/2021,running,0.68,4348.6,6388:44:00
6433794819.gpx,Afternoon Run,27/12/2021,running,1.58,16.1,10:10
6433898857.gpx,Afternoon Run,27/12/2021,running,2.63,21.4,08:08
6451441446.gpx,Afternoon Run,31/12/2021,running,1.53,9.3,06:05
6451474861.gpx,Afternoon Run,31/12/2021,running,0.57,3.1,05:26
6460122407.gpx,Lunch Run,02/01/2022,running,4.03,30.6,07:35
6470700097.gpx,Lunch Run,04/01/2022,running,2.24,18.5,08:15
6470986771.gpx,Lunch Run,04/01/2022,running,3.22,28.4,08:49
6479920498.gpx,Morning Run,06/01/2022,running,1.78,12.8,07:12
6500264794.gpx,Morning Run,10/01/2022,running,4.5,38.9,08:39
6507224816.gpx,Afternoon Run,11/01/2022,running,1.62,13.3,08:11
6648940328.gpx,Morning Run,08/02/2022,running,0.79,6.2,07:47
6656626795.gpx,Afternoon Run,09/02/2022,running,2.03,13.5,06:40
6662577852.gpx,Evening Run,10/02/2022,running,0.32,1.8,05:30
6666633676.gpx,Afternoon Run,11/02/2022,running,1.4,10.6,07:33
6666672513.gpx,Afternoon Run,11/02/2022,running,0.42,2.4,05:41
6681428525.gpx,Morning Activity,14/02/2022,AlpineSki,5.68,188.3,33:09:00
