Latitude,Longitude,Elevation,Time
50.70963,-3.524754,6.8,2024-03-17 19:55:48+00:00
50.709942,-3.525069,6.6,2024-03-17 19:55:51+00:00
50.710504,-3.525694,6.3,2024-03-17 19:55:57+00:00
50.710581,-3.525666,6.3,2024-03-17 19:56:04+00:00
50.710428,-3.525759,6.3,2024-03-17 19:56:11+00:00
50.710446,-3.525756,6.3,2024-03-17 19:56:12+00:00
50.710475,-3.525758,6.3,2024-03-17 19:56:13+00:00
50.710484,-3.525762,6.3,2024-03-17 19:56:14+00:00
50.710522,-3.525778,6.4,2024-03-17 19:56:15+00:00
50.710541,-3.525785,6.4,2024-03-17 19:56:16+00:00
50.710561,-3.525789,6.4,2024-03-17 19:56:17+00:00
50.710592,-3.525785,6.5,2024-03-17 19:56:18+00:00
50.710603,-3.525783,6.5,2024-03-17 19:56:19+00:00
50.710634,-3.52577,6.5,2024-03-17 19:56:20+00:00
50.710644,-3.525765,6.5,2024-03-17 19:56:21+00:00
50.710674,-3.52575,6.6,2024-03-17 19:56:22+00:00
50.710684,-3.525746,6.6,2024-03-17 19:56:23+00:00
50.710704,-3.525728,6.6,2024-03-17 19:56:24+00:00
50.710713,-3.525723,6.6,2024-03-17 19:56:25+00:00
50.710723,-3.525718,6.6,2024-03-17 19:56:26+00:00
50.710748,-3.52571,6.7,2024-03-17 19:56:27+00:00
50.710758,-3.525705,6.7,2024-03-17 19:56:28+00:00
50.710784,-3.525692,6.7,2024-03-17 19:56:29+00:00
50.710793,-3.525687,6.7,2024-03-17 19:56:30+00:00
50.710809,-3.525675,6.7,2024-03-17 19:56:31+00:00
50.710819,-3.525671,6.7,2024-03-17 19:56:32+00:00
50.710836,-3.525679,6.7,2024-03-17 19:56:33+00:00
50.710845,-3.525683,6.7,2024-03-17 19:56:34+00:00
50.710854,-3.525687,6.7,2024-03-17 19:56:35+00:00
50.710863,-3.525689,6.7,2024-03-17 19:56:36+00:00
50.710876,-3.525696,6.7,2024-03-17 19:56:37+00:00
50.710889,-3.5257,6.7,2024-03-17 19:56:38+00:00
50.710894,-3.5257,6.7,2024-03-17 19:56:39+00:00
50.710906,-3.525704,6.7,2024-03-17 19:56:40+00:00
50.710915,-3.525705,6.7,2024-03-17 19:56:41+00:00
50.710923,-3.525699,6.7,2024-03-17 19:56:42+00:00
50.710926,-3.525657,6.7,2024-03-17 19:56:43+00:00
50.710942,-3.525669,6.8,2024-03-17 19:56:44+00:00
50.710956,-3.525675,6.8,2024-03-17 19:56:45+00:00
50.710967,-3.52567,6.8,2024-03-17 19:56:46+00:00
50.710981,-3.525666,6.8,2024-03-17 19:56:47+00:00
50.710994,-3.525663,6.8,2024-03-17 19:56:48+00:00
50.711007,-3.525672,6.8,2024-03-17 19:56:49+00:00
