Follower Athlete ID,Follow Status,Created At
115370976,Accepted,"Aug 19, 2024, 8:59:32 AM"
13895882,Accepted,"Aug 25, 2024, 2:02:04 PM"
95422638,Accepted,"Aug 25, 2024, 2:29:26 PM"
65549280,Accepted,"Sep 7, 2024, 8:55:19 AM"
54417317,Accepted,"Nov 3, 2024, 11:36:23 AM"
139462707,Accepted,"Nov 6, 2024, 1:54:19 PM"
126242289,Accepted,"Feb 18, 2025, 5:19:24 PM"
114202726,Accepted,"Feb 20, 2025, 12:10:28 PM"
126932283,Accepted,"Feb 21, 2025, 11:05:09 AM"
54794444,Accepted,"Mar 5, 2025, 12:30:22 PM"
57385344,Accepted,"Mar 6, 2025, 2:59:53 PM"
159983524,Accepted,"Mar 6, 2025, 3:40:48 PM"
160832204,Accepted,"Mar 6, 2025, 10:30:07 PM"
26081012,Accepted,"Mar 6, 2025, 11:26:30 PM"
54506446,Accepted,"Mar 10, 2025, 7:41:01 PM"
46122285,Accepted,"Mar 11, 2025, 10:25:55 AM"
29818694,Accepted,"Mar 11, 2025, 3:16:40 PM"
61996638,Accepted,"Mar 16, 2025, 3:55:04 PM"
118186584,Accepted,"Mar 18, 2025, 6:37:29 PM"
