Following Athlete ID,Follow Status,Created At
115370976,Accepted,"Aug 19, 2024, 8:59:04 AM"
95422638,Accepted,"Aug 24, 2024, 11:32:58 PM"
13895882,Accepted,"Aug 25, 2024, 1:39:08 PM"
28980656,Accepted,"Aug 25, 2024, 4:20:57 PM"
38546535,Accepted,"Aug 25, 2024, 4:32:49 PM"
60642764,Accepted,"Sep 3, 2024, 10:13:03 PM"
65549280,Accepted,"Sep 7, 2024, 9:10:47 AM"
54417317,Accepted,"Nov 3, 2024, 1:33:48 PM"
139462707,Accepted,"Nov 6, 2024, 1:54:11 PM"
79312586,Accepted,"Jan 14, 2025, 10:22:40 PM"
126242289,Accepted,"Feb 18, 2025, 5:14:02 PM"
114202726,Accepted,"Feb 20, 2025, 9:50:02 AM"
126932283,Accepted,"Feb 24, 2025, 1:02:49 PM"
54794444,Accepted,"Mar 5, 2025, 8:26:03 AM"
57385344,Accepted,"Mar 6, 2025, 2:59:40 PM"
159983524,Accepted,"Mar 6, 2025, 3:40:42 PM"
26081012,Accepted,"Mar 6, 2025, 10:26:26 PM"
160832204,Accepted,"Mar 6, 2025, 10:33:42 PM"
54506446,Accepted,"Mar 10, 2025, 7:29:43 PM"
29818694,Accepted,"Mar 10, 2025, 7:32:51 PM"
46122285,Accepted,"Mar 11, 2025, 12:36:50 PM"
61996638,Accepted,"Mar 16, 2025, 3:55:25 PM"
30780992,Accepted,"Mar 18, 2025, 5:47:18 PM"
118186584,Accepted,"Mar 19, 2025, 10:47:25 AM"
