Promotion Seen,Timestamp
FeedFollowOptionCoachmark,1724510487
GapActivityDetailUpsell,1723751505
GapActivityDetailUpsell,1723751841
GapActivityDetailUpsell,1723751937
GapActivityDetailFeatureEd,1725357527
GapActivityDetailFeatureEd,1725357539
EvergreenStatsShareFeatureEd,1728429100
RecordScreenBeaconCoachmark,1724510489
MapSettingsPersonalHeatmapCoachmark,1724588011
MapVisibilityFeedCoachmarkImpression,1723295393
MapVisibilityFeedCoachmarkImpression,1723295396
MapVisibilityFeedCoachmarkImpression,1723296461
MapVisibilityFeedCoachmarkImpression,1723299325
MapVisibilityFeedCoachmarkImpression,1723710619
MapVisibilityFeedCoachmarkImpression,1723710620
MapVisibilityRowReinforcementImpression,1725357504
MapVisibilityRowReinforcementImpression,1725357539
MapVisibilityRowReinforcementImpression,1725359726
MapVisibilityRowReinforcementImpression,1725361624
MapVisibilityRowReinforcementImpression,1725376851
MapVisibilityRowReinforcementImpression,1725377411
MapVisibilityActivityCoachmarkImpression,1724515542
MapVisibilityActivityCoachmarkImpression,1724515743
MapVisibilityActivityCoachmarkImpression,1724519937
MapVisibilityActivityCoachmarkDismissed,1724519945
RouteFromActivityMoreOptionsButtonCoachmark,1723751505
RouteFromActivitySaveButtonCoachmark,1724515625
MapVisibilitySettingCogCoachmark,1724515776
RouteLongPressCoachmark,1725183483
WinbackNotificationSeen,1742894760
MentionsSettingCogCoachmark,1724515776
MapsTabDirtSports,1724588012
MapsTabDirtFirstTimeExperienceFree,1724588011
OfflineMapsFirstTimeExperience,1730564123
VideoNotificationHardLimit,1732974215
VideoNotificationHardLimit,1736141138
SubPreviewMapsOverlay,1725183479
SubPreviewGroupTab,1725017148
SubPreviewYouTab,1725183446
SubPreviewActivitiesFeedBanner,1725183452
SubPreviewActivitiesFeedBanner,1725187069
SubPreviewActivitiesFeedBanner,1725187072
SubPreviewGroupsBanner,1725192897
SubPreviewGroupsBanner,1725401669
SubPreviewProgressBanner,1725183447
SubPreviewProgressBanner,1725194027
SubPreviewProgressBanner,1725356631
SubPreviewWelcomeModalImpression,1724877800
SubPreviewConversionModalImpression,1727620967
SubPreviewConversionModalImpression,1727620990
SubPreviewConversionModalImpression,1727621154
FollowingFeedDoradoCooldownSix,1743085507
ActivitySaveWalkthrough,1723295355
ClubDetailV2FirstVisitModal,1730549819
SuggestedRoutesInFeed,1742758839
SuggestedRoutesInFeed,1743085507
YouTabProfileMove,1723295392
RecordScreenSpotifyCoachmark,1723293471
ChatFeatureTryCtaImpression,1723718164
ChatFeatureImpression,1730901737
FlyoverEducationCoachmark,1723296389
CelebrationNthActivity3,1724515543
CelebrationNthActivity5,1724676328
CelebrationNthActivity10,1726413458
CelebrationNewTypeWorkout,1725356662
ActivityDetailsShareCoachmark,1723751841
ActivityQuickEdit,1742924762
CelebrationNthActivity20,1730925801
CelebrationNthActivity30,1740405802
CreateClubEntrypointMobile,1739790547
CreateClubEntrypointMobile,1739878140
CreateClubEntrypointMobile,1739898795
CreateClubEntrypointMobile,1739915062
CreateClubEntrypointMobile,1740074340
MapsRedesignModalUnseen,1723296282
MapRedesignTooltipSavedUnseen,1723296293
MapRedesignTooltipSearchBarUnseen,1725194023
MapRedesignTooltipSearchHereUnseen,1725193748
VerifiedSegmentsInfoCoachmark,1723296237
VerifiedSegmentsInfoCoachmark,1724588091
ActivityQuickEditADP,1742924762
AchievementShareModal,1729203445
AchievementShareModal,1730925802
AchievementShareModal,1732792256
AchievementShareModal,1737215115
AchievementShareModal,1740406276
AchievementShareModal,1740406277
AchievementShareModal,1741105767
AchievementShareModal,1742649447
GeoSportSpecificHeatmapTwo,1723714906
TermsOfServiceModal2024,1727532214
NavigationMapsTabMapSettingsFtux,1732296292
MapSettingsFtuxFullscreenTakeover,1732293624
SuggestedGoals,1742644114
SuggestedGoals,1742644115
SuggestedGoals,1742648349
SuggestedGoals,1742648353
SuggestedGoals,1742653454
SuggestedGoals,1742658106
SuggestedGoals,1742663668
SuggestedGoals,1742687375
SuggestedGoals,1742758839
SuggestedGoals,1742830767
SuggestedGoals,1742834937
SuggestedGoals,1742908196
SuggestedGoals,1742919297
SuggestedGoals,1742922643
SuggestedGoals,1742924569
SuggestedGoals,1742934187
SuggestedGoals,1742938261
SuggestedGoals,1742938262
SuggestedGoals,1742980004
SuggestedGoals,1742980005
SuggestedGoals,1742990566
SuggestedGoals,1742990567
PostOnProgress,1734259939
ProfileOnHome,1733600375
ProfileOnHome,1734044066
YisUpsell2024,1734044090
YisUpsell2024,1734044100
AdpPhaseOneSheetCoachmark,1740055237
CreateClubNavBadgeIos,1739790547
CreateClubNavBadgeIos,1739878139
CreateClubNavBadgeIos,1739898794
CreateClubNavBadgeIos,1739915063
CreateClubNavBadgeIos,1740074339
SwitchToOneTimeCodesNewTag,1743085550
ProgressSummaryComparisonCoachmark,1740402173
WauWinbackMostKudosableActivity,1736377801
WauWinbackNotification,1736377801
VideoNotificationMonthlySoftLimit,1736141138
