Reaction Date,Reaction Type,Parent Type,Parent ID
"Aug 24, 2024, 5:18:46 PM",Kudos,Activity,12179675247
"Sep 1, 2024, 10:39:41 AM",Kudos,Activity,12296512665
"Sep 1, 2024, 11:10:07 AM",Kudos,Activity,12287763999
"Sep 5, 2024, 11:16:40 AM",Kudos,Activity,12331649241
"Sep 11, 2024, 9:42:15 AM",Kudos,Activity,12365768769
"Sep 13, 2024, 9:59:11 PM",Kudos,Activity,12390384820
"Sep 15, 2024, 2:23:33 PM",Kudos,Activity,12411052218
"Sep 15, 2024, 10:28:02 PM",Kudos,Activity,12419186759
"Sep 17, 2024, 8:05:47 PM",Kudos,Activity,12434954790
"Sep 17, 2024, 8:06:43 PM",Kudos,Activity,12426429771
"Sep 19, 2024, 12:29:42 PM",Kudos,Activity,12448566754
"Sep 22, 2024, 2:03:15 PM",Kudos,Activity,12465478670
"Sep 29, 2024, 2:42:34 PM",Kudos,Activity,12531893831
"Oct 8, 2024, 11:07:40 PM",Kudos,Activity,12591527861
"Oct 12, 2024, 9:25:08 AM",Kudos,Activity,12616357629
"Oct 20, 2024, 11:25:09 AM",Kudos,Activity,12690343288
"Nov 10, 2024, 7:58:07 PM",Kudos,Post,33420232
"Nov 26, 2024, 5:05:58 PM",Kudos,Activity,12988521844
"Nov 28, 2024, 6:13:19 PM",Kudos,Activity,13002534307
"Dec 4, 2024, 11:00:24 AM",Kudos,Activity,13026830585
"Dec 4, 2024, 11:00:32 AM",Kudos,Activity,13022860759
"Dec 4, 2024, 11:00:54 AM",Kudos,Activity,13025280599
"Dec 15, 2024, 12:30:43 PM",Kudos,Activity,13111831182
"Dec 15, 2024, 6:02:21 PM",Kudos,Activity,13094173051
"Dec 17, 2024, 8:10:39 PM",Kudos,Activity,13130478160
"Dec 25, 2024, 3:05:13 PM",Kudos,Activity,13181772438
"Dec 28, 2024, 11:42:22 PM",Kudos,Activity,13206150357
"Jan 12, 2025, 9:03:23 PM",Kudos,Activity,13335468637
"Jan 18, 2025, 3:47:43 PM",Kudos,Activity,13379318242
"Jan 18, 2025, 3:55:13 PM",Kudos,Activity,13364455319
"Jan 19, 2025, 5:52:49 PM",Kudos,Activity,13393815043
"Jan 26, 2025, 11:31:48 AM",Kudos,Activity,13451081943
"Jan 26, 2025, 11:32:13 AM",Kudos,Activity,13447310318
"Jan 26, 2025, 11:32:15 AM",Kudos,Activity,13438392228
"Feb 16, 2025, 11:50:22 PM",Kudos,Activity,13644963081
"Feb 16, 2025, 11:50:25 PM",Kudos,Activity,13635772493
"Feb 18, 2025, 3:45:24 PM",Kudos,Activity,13660188736
"Feb 20, 2025, 12:42:39 PM",Kudos,Activity,13676525057
"Feb 20, 2025, 1:28:50 PM",Kudos,Activity,13661484212
"Feb 20, 2025, 5:58:31 PM",Kudos,Activity,13679812873
"Feb 24, 2025, 1:00:36 PM",Kudos,Activity,13703699499
"Feb 24, 2025, 1:01:20 PM",Kudos,Activity,13704286451
"Mar 2, 2025, 11:53:42 AM",Kudos,Activity,13767009937
"Mar 2, 2025, 11:54:24 AM",Kudos,Activity,13753649577
"Mar 2, 2025, 11:54:57 AM",Kudos,Activity,13743821181
"Mar 3, 2025, 10:28:09 AM",Kudos,Activity,13775277725
"Mar 4, 2025, 2:33:17 PM",Kudos,Activity,13780616946
"Mar 4, 2025, 4:38:31 PM",Kudos,Activity,13787849883
"Mar 4, 2025, 5:30:06 PM",Kudos,Activity,13771588466
"Mar 6, 2025, 3:00:25 PM",Kudos,Activity,13805476949
"Mar 6, 2025, 3:00:33 PM",Kudos,Activity,13805557025
"Mar 7, 2025, 1:41:37 PM",Kudos,Activity,13805867831
"Mar 8, 2025, 8:26:32 AM",Kudos,Activity,13817217650
"Mar 8, 2025, 10:21:12 AM",Kudos,Activity,13820837423
"Mar 8, 2025, 10:21:58 AM",Kudos,Activity,13820658138
"Mar 9, 2025, 9:08:11 AM",Kudos,Activity,13829829392
"Mar 9, 2025, 11:32:19 PM",Kudos,Activity,13838523417
"Mar 11, 2025, 10:20:22 AM",Kudos,Activity,13845605235
"Mar 11, 2025, 12:36:36 PM",Kudos,Activity,13850305403
"Mar 11, 2025, 12:36:38 PM",Kudos,Activity,13850295801
"Mar 11, 2025, 12:36:56 PM",Kudos,Activity,13850673500
"Mar 11, 2025, 12:37:19 PM",Kudos,Activity,13834019722
"Mar 11, 2025, 12:37:21 PM",Kudos,Activity,13834033701
"Mar 12, 2025, 2:27:08 PM",Kudos,Activity,13853855816
"Mar 12, 2025, 2:27:14 PM",Kudos,Activity,13853860227
"Mar 16, 2025, 1:51:39 PM",Kudos,Activity,13873533838
"Mar 16, 2025, 1:51:42 PM",Kudos,Activity,13898735210
"Mar 16, 2025, 1:52:38 PM",Kudos,Activity,13898265617
"Mar 18, 2025, 1:57:19 PM",Kudos,Activity,13916440402
"Mar 18, 2025, 5:47:33 PM",Kudos,Activity,13918156179
"Mar 18, 2025, 5:52:07 PM",Kudos,Activity,13918220375
"Mar 18, 2025, 5:52:14 PM",Kudos,Activity,13914917688
"Mar 22, 2025, 2:24:25 PM",Kudos,Activity,13953720983
"Mar 22, 2025, 2:24:26 PM",Kudos,Activity,13953760693
"Mar 23, 2025, 11:50:26 AM",Kudos,Activity,13956873612
"Mar 24, 2025, 3:39:32 PM",Kudos,Activity,13973034082
"Mar 24, 2025, 4:49:16 PM",Kudos,Activity,13974197147
"Mar 24, 2025, 4:49:19 PM",Kudos,Activity,13973035787
"Mar 25, 2025, 5:50:18 PM",Kudos,Activity,13982772458
"Mar 25, 2025, 9:31:21 PM",Kudos,Activity,13984198023
"Sep 1, 2024, 11:01:22 AM",Like,Comment,1898222116
"Sep 12, 2024, 4:35:25 PM",Like,Comment,1908463987
"Mar 8, 2025, 12:49:54 PM",Like,Comment,2063199585
"Mar 22, 2025, 1:28:06 PM",Like,Comment,2077657010
